VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2020-12-01 05:00:01,2020-12-01 05:02:18,3,.68,1,N,100,230,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,2020-12-01 05:43:34,2020-12-01 05:53:13,3,1.66,1,N,186,137,1,8.5,0.5,0.5,2.46,0,0.3,14.76,2.5
2,2020-12-01 05:40:29,2020-12-01 05:48:28,6,1.07,1,N,237,43,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
1,2020-12-01 05:47:06,2020-12-01 06:05:48,1,5.20,1,N,143,261,1,18,3,0.5,2,0,0.3,23.8,2.5
2,2020-12-01 05:49:07,2020-12-01 06:13:25,2,3.69,1,N,229,246,1,18.5,0.5,0.5,4.46,0,0.3,26.76,2.5
1,2020-12-01 05:25:20,2020-12-01 05:28:09,1,.90,1,N,186,230,2,5,3,0.5,0,0,0.3,8.8,2.5
1,2020-12-01 05:30:09,2020-12-01 05:31:33,1,.60,1,N,230,186,1,4,3,0.5,1,0,0.3,8.8,2.5
1,2020-12-01 05:38:32,2020-12-01 05:46:19,1,2.50,1,N,249,161,1,9,2.5,0.5,3.05,0,0.3,15.35,2.5
1,2020-12-01 05:57:51,2020-12-01 06:03:45,1,1.20,1,Y,239,50,1,6.5,2.5,0.5,1,0,0.3,10.8,2.5
2,2020-12-01 05:55:10,2020-12-01 06:04:04,1,2.23,1,N,230,238,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,2020-12-01 05:41:06,2020-12-01 05:45:03,1,.72,1,N,48,161,1,5,0.5,0.5,1.5,0,0.3,10.3,2.5
2,2020-12-01 05:18:05,2020-12-01 05:22:06,1,1.29,1,N,186,230,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2020-12-01 05:33:11,2020-12-01 05:37:27,1,1.36,1,N,186,107,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,2020-12-01 06:00:01,2020-12-01 06:01:59,1,.48,1,N,186,90,1,3.5,0.5,0.5,1,0,0.3,8.3,2.5
2,2020-12-01 05:16:06,2020-12-01 05:21:33,1,2.12,1,N,141,75,2,-7.5,-0.5,-0.5,0,0,-0.3,-11.3,-2.5
2,2020-12-01 05:16:06,2020-12-01 05:21:33,1,2.12,1,N,141,75,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,2020-12-01 05:22:44,2020-12-01 05:29:28,1,1.63,1,N,75,166,2,-7,-0.5,-0.5,0,0,-0.3,-8.3,0
2,2020-12-01 05:22:44,2020-12-01 05:29:28,1,1.63,1,N,75,166,2,7,0.5,0.5,0,0,0.3,8.3,0
2,2020-12-01 05:37:18,2020-12-01 05:55:34,1,9.28,1,N,151,138,1,27,0.5,0.5,6.88,6.12,0.3,41.3,0
2,2020-12-01 05:30:29,2020-12-01 05:43:07,1,3.41,1,N,100,145,1,13.5,0.5,0.5,5.86,6.12,0.3,29.28,2.5
2,2020-12-01 05:05:29,2020-12-01 05:10:18,1,1.58,1,N,143,48,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,2020-12-01 05:45:35,2020-12-01 05:57:26,1,4.24,1,N,186,24,1,13.5,0.5,0.5,0,0,0.3,17.3,2.5
2,2020-12-01 05:39:15,2020-12-01 06:20:24,1,13.14,1,N,232,207,1,37,0.5,0.5,2.75,6.12,0.3,47.17,0
2,2020-12-01 05:23:11,2020-12-01 05:26:41,1,.85,1,N,48,68,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
2,2020-12-01 05:15:29,2020-12-01 05:25:33,2,5.19,1,N,48,152,1,16.5,0.5,0.5,2,0,0.3,22.3,2.5
2,2020-12-01 06:00:28,2020-12-01 06:06:18,1,.86,1,N,48,161,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,2020-12-01 05:12:35,2020-12-01 05:24:58,1,2.96,1,N,116,168,1,12,0.5,0.5,0,0,0.3,13.3,0
2,2020-12-01 05:35:54,2020-12-01 05:41:03,1,1.70,1,N,75,151,2,7,0.5,0.5,0,0,0.3,8.3,0
2,2020-12-01 05:43:30,2020-12-01 05:51:08,1,2.74,1,N,238,162,1,10,0.5,0.5,3.45,0,0.3,17.25,2.5
2,2020-12-01 05:43:25,2020-12-01 05:55:17,5,3.78,1,N,87,186,1,13,0.5,0.5,3,0,0.3,19.8,2.5
2,2020-12-01 05:59:43,2020-12-01 06:06:09,5,1.59,1,N,90,231,1,7,0.5,0.5,3.24,0,0.3,14.04,2.5
2,2020-12-01 05:30:18,2020-12-01 05:35:01,1,1.29,1,N,233,140,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
2,2020-12-01 05:43:50,2020-12-01 05:45:59,1,.96,1,N,262,140,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
1,2020-12-01 05:47:56,2020-12-01 05:59:54,1,2.90,1,N,170,43,1,11.5,3,0.5,1.7,0,0.3,17,2.5
2,2020-12-01 05:40:06,2020-12-01 05:45:56,2,.84,1,N,41,41,2,6,0.5,0.5,0,0,0.3,7.3,0
2,2020-12-01 05:53:44,2020-12-01 06:05:39,1,3.16,1,N,238,170,1,12,0.5,0.5,0,0,0.3,15.8,2.5
2,2020-12-01 05:43:59,2020-12-01 05:56:44,1,4.49,1,N,97,112,2,15,0.5,0.5,0,0,0.3,16.3,0
1,2020-12-01 05:52:14,2020-12-01 05:58:34,1,1.00,1,N,140,237,2,6.5,3,0.5,0,0,0.3,10.3,2.5
2,2020-12-01 05:00:30,2020-12-01 05:09:17,1,1.36,1,N,75,75,2,8,0.5,0.5,0,0,0.3,9.3,0
2,2020-12-01 05:30:14,2020-12-01 05:43:46,1,4.20,1,N,263,100,1,14.5,0.5,0.5,2,0,0.3,20.3,2.5
2,2020-12-01 05:22:04,2020-12-01 05:22:26,1,.00,5,N,264,264,1,68,0,0,10,0,0,78,0
2,2020-12-01 05:22:18,2020-12-01 05:34:15,1,2.08,1,N,48,137,1,10.5,0.5,0.5,2,0,0.3,16.3,2.5
2,2020-12-01 05:45:40,2020-12-01 05:56:06,1,2.50,1,N,48,141,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5
1,2020-12-01 05:40:40,2020-12-01 05:47:36,1,2.60,1,N,224,163,1,9,3,0.5,1.5,0,0.3,14.3,2.5
2,2020-12-01 05:07:22,2020-12-01 05:11:17,2,.84,1,N,170,230,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,2020-12-01 05:22:56,2020-12-01 05:27:04,2,.79,1,N,42,116,2,5,0.5,0.5,0,0,0.3,6.3,0
2,2020-12-01 05:42:19,2020-12-01 05:52:23,2,3.46,1,N,239,246,2,12,0.5,0.5,0,0,0.3,15.8,2.5
2,2020-12-01 05:33:23,2020-12-01 05:58:25,1,10.41,1,N,230,138,1,30.5,0.5,0.5,5,0,0.3,39.3,2.5
2,2020-12-01 05:13:33,2020-12-01 05:20:47,1,2.38,1,N,75,140,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5
1,2020-12-01 05:11:36,2020-12-01 05:22:08,1,3.50,1,N,48,166,2,12,3,0.5,0,0,0.3,15.8,2.5
